,mean,mean_se,mean_ci_lower,mean_ci_upper
2025-08-30,308.51181631389824,36.76347676027631,236.4567259172814,380.56690671051507
2025-08-31,308.51181631490385,37.36826175484696,235.27136911053827,381.75226351926943
2025-09-01,308.51181631439795,37.96341330341527,234.10489350949524,382.91873911930065
2025-09-02,308.5118163146477,38.54937759182673,232.9564246082319,384.0672080210635
2025-09-03,308.511816314525,39.126567390796005,231.82515338988551,385.1984792391645
2025-09-04,308.51181631458604,39.69536545815858,230.71032966343995,386.31330296573213
2025-09-05,308.51181631455563,40.25612750782841,229.61125624215978,387.41237638695145
2025-09-06,308.5118163145708,40.80918481171313,228.52728384517408,388.4963487839675
2025-09-07,308.5118163145633,41.35484648824672,227.457806611417,389.5658260177096
2025-09-08,308.511816314567,41.893401522631315,226.40225814033414,390.62137448879986
2025-09-09,308.5118163145652,42.42512055617914,225.36010798468416,391.66352464444617
2025-09-10,308.5118163145661,42.950257476251224,224.3308585343915,392.6927740947407
2025-09-11,308.51181631456564,43.469050833279155,223.31404223919765,393.7095903899336
2025-09-12,308.51181631456586,43.98172510732321,222.30921912627133,394.7144135028604
2025-09-13,308.51181631456575,44.48849184324054,221.31597457531035,395.70765805382115
2025-09-14,308.5118163145658,44.98955067075038,220.33391731925522,396.6897153098764
2025-09-15,308.5118163145658,45.48509022334628,219.36267764325217,397.66095498587947
2025-09-16,308.5118163145658,45.975288968052034,218.40190575836215,398.62172687076946
2025-09-17,308.5118163145658,46.46031595637101,217.45127032972704,399.5723622994046
2025-09-18,308.5118163145658,46.94033150538839,216.51045714163374,400.51317548749785
2025-09-19,308.5118163145658,47.41548781680617,215.579167884228,401.4444647449036
2025-09-20,308.5118163145658,47.885929540686895,214.65711904859683,402.3665135805348
2025-09-21,308.5118163145658,48.35179428982512,213.74404091861913,403.2795917105125
2025-09-22,308.5118163145658,48.81321310993061,212.8396766494234,404.18395597970823
2025-09-23,308.5118163145658,49.27031091017629,211.9437814235294,405.0798512056022
2025-09-24,308.5118163145658,49.72320685811981,211.05612167681596,405.96751095231565
2025-09-25,308.5118163145658,50.17201474253658,210.17647438738146,406.84715824175015
2025-09-26,308.5118163145658,50.61684330729489,209.30462642116055,407.71900620797106
2025-09-27,308.5118163145658,51.05779655904845,208.44037392885775,408.58325870027386
2025-09-28,308.5118163145658,51.49497405121315,207.58352178936337,409.44011083976824
2025-09-29,308.5118163145658,51.92847114642459,206.73388309534624,410.28974953378537
2025-09-30,308.5118163145658,52.35837925943647,205.8912786771814,411.1323539519502
2025-10-01,308.5118163145658,52.784786082212385,205.05553666177843,411.9680959673532
2025-10-02,308.5118163145658,53.20777579278106,204.2264920632328,412.7971405658988
2025-10-03,308.5118163145658,53.62742924926379,203.40398640253892,413.6196462265927
2025-10-04,308.5118163145658,54.043824170340955,202.58786735388227,414.4357652752493
2025-10-05,308.5118163145658,54.457035303298184,201.7779884152751,415.2456442138565
2025-10-06,308.5118163145658,54.867134580681366,200.97420860151817,416.04942402761344
2025-10-07,308.5118163145658,55.274191266490156,200.1763921576667,416.84724047146494
2025-10-08,308.5118163145658,55.67827209275151,199.38440829135126,417.6392243377803
2025-10-09,308.5118163145658,56.07944138723573,198.59813092245884,418.4255017066728
2025-10-10,308.5118163145658,56.47776119300714,197.81743844881788,419.20619418031373
2025-10-11,308.5118163145658,56.873291380438665,197.0422135266537,419.9814191024779
2025-10-12,308.5118163145658,57.26608975226277,196.27234286469252,420.7512897644391
